Миграционный центр;все;г. Красноярск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Красноярск, ул. 26 Бакинских комиссаров, здание 8, оф.104;56.03311;93.02718200000001; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Шарыпово;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Шарыпово, 6 микрорайон, д.16, пом. 2;55.541797;89.162568; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Ачинск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Ачинск, 7 микрорайон, д.28, «Б», пом. 3;56.2673383;90.4985841; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Канск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Канск, ул. Ленина, д.11;56.20241129999999;95.7046531; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Лесосибирск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Лесосибирск, ул. Победы, д.50 «А», пом. 3, 4;58.1784357;92.53674629999999; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все; г. Минусинск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ "; г. Минусинск, проезд Котельный, д.11;53.6932736;91.6520524; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Норильск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Норильск, ул. Нансена, д. 69, офис 3-12;69.3597498;88.1678021; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Симферополь;"Филиал ФГУП ""ПВС"" МВД РФ "; г. Симферополь, улица Пролетарская, д. 6 А;44.9499919;34.1060649; 8(365) 253-23-83;"Пн-Чт с 9:00 до 18:00
Пт с 09:00 до 17:45
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Ялта;"ОП Филиала ФГУП ""ПВС"" МВД РФ ";г. Ялта, улица Московская, д. 21, пом. 1;44.5018484;34.1702873; 8(365) 253-23-83;"Пн-Чт с 9:00 до 18:00
Пт с 09:00 до 17:45
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Феодосия;"ОП Филиала ФГУП ""ПВС"" МВД РФ ";г. Феодосия, улица Вити Коробкова, д. 14 Б;45.031933;35.382433; 8(365) 253-23-83;"Пн-Чт с 9:00 до 18:00
Пт с 09:00 до 17:45
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Курск;"Филиал по Курской области ФГУП ""ПВС"" МВД РФ "; г. Курск, ул. Льва Толстого, д.17;51.747438;36.2010689; 8(4712) 51-08-66;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 13:35
Выходной: Сб, Вс"
Миграционный центр;все;г. Саранск;"Филиал по Республике Мордовия  ФГУП ""ПВС"" МВД РФ ";г. Саранск, ул. Полежаева, д. 173, пом. 2;54.19033959999999;45.1631095; 8(960) 338-53-86;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Санкт-Петербург;"Филиал по г. Санкт-Петербургу и Ленинградской области ФГУП ""ПВС"" МВД РФ "; г. Санкт-Петербург, ул. Красного текстильщика, д. 15, литер А;59.94158700000001;30.39578809999999; 8(812) 318-01-22;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Санкт-Петербург;"ОП Филиала по г. Санкт-Петербургу и Ленинградской области ФГУП ""ПВС"" МВД РФ ";г. Санкт-Петербург, ул. Курская, д. 14, литер А;59.9125137;30.3463961; 8(812) 318-01-22;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Санкт-Петербург;"ОП Филиала по г. Санкт-Петербургу и Ленинградской области ФГУП ""ПВС"" МВД РФ "; г. Санкт-Петербург, Межевой канал, д. 1, литер А;59.911179;30.2557051; 8(812) 318-01-22;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Санкт-Петербург;"ОП Филиала по г. Санкт-Петербургу и Ленинградской области ФГУП ""ПВС"" МВД РФ "; г. Санкт-Петербург, ул. Якорная, д. 7, литер А, пом. 11 Н;59.9424436;30.4220959; 8(812) 318-01-22;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Санкт-Петербург;"ОП Филиала по г. Санкт-Петербургу и Ленинградской области ФГУП ""ПВС"" МВД РФ "; г. Санкт-Петербург, Московский проспект, д. 182, литер А, пом. 10 Н;59.8746942;30.3223152; 8(812) 318-01-22;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все; г. Липецк;"Филиал по Липецкой области ФГУП ""ПВС"" МВД РФ "; г. Липецк, ул. Гагарина д. 117 «А», офис 212, 214;52.6220692;39.5622823; 8(4742) 34-00-57;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Нижний Новгород;"Филиал по Нижегородской области ФГУП ""ПВС"" МВД РФ ";г. Нижний Новгород, ул. Родионова, д. 23, офис 211;56.3178636;44.0607549; 8(831) 467-82-27;"Вт, Чт, Пт с 9:00 до 18:00
Ср с 11:00 до 20:00
Без перерыва на обед
Выходной: Вс, Пн
"
Миграционный центр;все;г. Нижний Новгород;"ОП Филиала по Нижегородской области ФГУП ""ПВС"" МВД РФ ";г.Нижний Новгород, ул. Должанская, 2а;56.33172800000001;43.960232; 8(831) 467-82-27;"Вт, Чт, Пт с 9:00 до 18:00
Ср с 11:00 до 20:00
Без перерыва на обед
Выходной: Вс, Пн
"
Миграционный центр;все;г. Новосибирск;"Филиал по Новосибирской  области ФГУП ""ПВС"" МВД РФ ";г. Новосибирск, пр-т Дзержинского, д. 12/2 (вход с левого торца здания, 2-й этаж);55.0505344;82.9644323; 8(383) 279-80-98;"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Новосибирск;"Филиал по Новосибирской  области ФГУП ""ПВС"" МВД РФ ";г. Новосибирск, ул. Есенина, д. 1Г;55.052962;82.996853; 8(383) 279-80-99;"Пн-Пт с 8:00 до 17:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Омск;"Филиал по Омской области ФГУП ""ПВС"" МВД РФ "; г. Омск, ул. Кемеровская д.15/2;55.0012793;73.3557402;" 8(3812) 21-77-12
 8(913) 967-49-90";"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Оренбург;"Филиал по Оренбургской области ФГУП ""ПВС"" МВД РФ ";г. Оренбург, ул. 75 Линия/16 Линия, д. 14/2;51.7863414;55.1781301; 8(3532) 44-78-15;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Оренбург;"ОП Филиала по Оренбургской области ФГУП ""ПВС"" МВД РФ ";г. Оренбург, ул. Краснознаменная/пер. Матросский, д. 21/10-12;51.7655939;55.0972053; 8(3532) 44-78-15;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
